movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,peopleNm
스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,12세이상관람가,20190702,129,액션,존 왓츠
알라딘,Aladdin,,전체관람가,20190523,127,어드벤처,가이 리치
토이 스토리 4,Toy Story 4,,전체관람가,20190620,99,애니메이션,조시 쿨리
기방도령,HOMME FATALE,,15세이상관람가,20190710,110,코미디,남대중
기생충,PARASITE,,15세이상관람가,20190530,131,드라마,봉준호
진범,The Culprit,,15세이상관람가,20190710,100,스릴러,고정욱
극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,전체관람가,20190711,68,애니메이션,히라야마 미호
애나벨 집으로,Annabelle Comes Home,,15세이상관람가,20190626,105,공포(호러),게리 도버먼
존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,20190626,131,액션,채드 스타헬스키
미드소마,Midsommar,,청소년관람불가,20190711,147,공포(호러),아리 애스터
롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,20190619,117,액션,강윤성
천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,20190613,113,애니메이션,로버트 페르난데스
비스트,The Beast,,15세이상관람가,20190626,130,범죄,이정호
BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,15세이상관람가,,,기타,이정호
마담 싸이코,Greta,,15세이상관람가,20190626,98,공포(호러),닐 조단
맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,20190612,115,액션,F. 게리 그레이
사탄의 인형,Child's Play,,청소년관람불가,20190620,90,공포(호러),라스 클리브버그
엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,20190605,113,액션,사이먼 킨버그
세상을 바꾼 변호인,ON THE BASIS OF SEX,,12세이상관람가,20190613,120,드라마,미미 레더
이웃집 토토로,My Neighbor Totoro,となりの トトロ,전체관람가,20010728,87,애니메이션,미야자키 하야오
업사이드,The Upside,,12세이상관람가,20190613,125,코미디,닐 버거
로켓맨,Rocketman,,15세이상관람가,20190605,121,드라마,덱스터 플레처
어벤져스: 엔드게임,Avengers: Endgame,,12세이상관람가,20190424,180,액션,안소니 루소
